indic_bt,nace_r2,s_adj,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
PNUM,F_CC111,NSA,I10,AT	: 	: 	102.7 e	95.9 e	93.7 e	88.1 	88.9 	102.1 	100.0 	90.2 	96.8 	100.8 	103.1 	95.8 	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,BE	: 	: 	81.5 p	76.7 	89.7 	85.8 	89.6 	85.8 	100.0 	89.3 	98.6 	97.9 	109.1 	113.2 	101.5 	92.1 	86.7 	92.7 	98.5 	110.9 	95.3 	132.7 	130.6 	111.3 s	: 	: 	: 
PNUM,F_CC111,NSA,I10,BG	: 	112.9 	93.2 	89.4 	88.8 	86.6 	90.3 	100.0 	100.0 	127.4 	180.0 	182.5 	169.9 	140.3 	96.7 	60.6 	41.1 	33.8 	25.2 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,CY	: 	: 	36.7 	29.7 	29.0 	36.6 	50.1 	67.7 	100.0 	113.1 	113.6 	127.3 	136.9 	138.0 	128.0 	102.8 	74.8 	71.4 	61.7 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,CZ	: 	: 	93.9 	82.0 	74.5 	75.0 	87.3 	102.9 	100.0 	113.4 	136.5 	126.8 	126.1 	114.6 	117.1 	114.4 	95.4 	91.7 	94.0 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,DE	: 	: 	121.7 	121.3 	112.3 	113.9 	112.6 	119.6 	100.0 	95.2 	94.0 e	100.2 e	153.5 e	154.8 e	171.5 e	197.9 e	174.6 e	174.1 e	200.7 e	241.0 e	231.9 e	210.5 e	189.6 e	171.6 e	199.2 e	: 	: 
PNUM,F_CC111,NSA,I10,DK	: 	117.9 p	131.7 p	112.8 p	82.2 p	69.9 p	71.7 p	94.5 p	100.0 p	60.4 p	113.2 p	179.0 p	257.0 p	228.0 p	186.9 p	171.7 p	165.2 p	136.3 p	115.0 p	123.1 p	135.4 p	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,EA19	: 	: 	78.6 	74.7 	70.6 	73.4 	84.3 	99.7 	100.0 	98.6 	131.3 	183.3 	222.6 	212.1 	201.8 	192.8 	174.7 s	173.8 s	191.1 s	188.6 s	177.2 s	166.6 s	153.6 s	152.2 s	174.9 s	: 	: 
PNUM,F_CC111,NSA,I10,EE	: 	181.9 	153.1 	132.1 	117.1 	111.3 	91.5 	90.6 	100.0 	119.3 	214.1 	335.9 	390.6 	287.8 	287.6 	170.4 	133.9 	66.4 	54.1 	57.1 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,EL	: 	: 	19.7 	20.7 	21.1 	26.8 	42.9 	69.9 	100.0 	118.8 	137.7 	164.7 	175.8 	199.6 	171.1 	175.2 	176.7 	170.8 	146.4 s	139.2 s	167.6 s	166.2 s	161.1 s	138.8 s	: 	: 	: 
PNUM,F_CC111,NSA,I10,ES	: 	: 	60.7 e	53.0 	45.7 	49.2 	63.0 	93.1 	100.0 	113.9 e	219.0 e	437.1 e	565.4 e	513.1 e	464.9 e	426.3 e	367.8 e	369.8 e	406.5 e	377.8 e	328.7 e	280.2 e	233.3 e	244.3 e	: 	: 	: 
PNUM,F_CC111,NSA,I10,EU28	: 	: 	98.5 	92.4 	82.4 	82.6 	86.9 	101.3 	100.0 	95.3 	125.4 	175.2 	204.3 	195.2 	188.5 	181.4 	167.3 s	168.6 s	181.4 s	180.7 s	171.6 s	161.1 s	148.2 s	146.8 s	: 	: 	: 
PNUM,F_CC111,NSA,I10,FI	: 	: 	56.1 	51.4 	57.4 	64.3 	82.7 	95.5 	100.0 	78.8 	91.1 	122.3 	136.6 	138.7 	127.9 	119.0 	100.3 	88.9 	105.4 	109.5 	97.5 	84.9 	62.8 	53.3 	: 	: 	: 
PNUM,F_CC111,NSA,I10,FR	: 	84.8 e	76.3 e	69.2 e	66.5 e	79.3 e	89.8 e	99.9 e	100.0 e	82.5 e	100.4 e	118.3 e	122.9 e	118.6 e	111.6 e	101.3 e	96.0 e	95.6 e	98.2 e	96.7 e	94.3 e	76.4 e	74.0 e	65.4 e	73.7 e	: 	: 
PNUM,F_CC111,NSA,I10,HR	: 	79.5 	60.0 	48.4 	53.1 	58.6 	75.6 	93.8 	100.0 	118.9 	110.9 	107.7 	118.9 	125.4 	110.4 	115.0 	115.3 	113.5 	97.6 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,HU	: 	: 	161.1 	88.1 	70.7 	62.5 	85.8 	98.4 	100.0 	165.9 	225.4 	268.6 	292.4 	298.6 	355.0 	400.7 	356.5 	357.3 	394.6 	318.9 s	258.2 s	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,IE	: 	: 	107.6 	88.3 	57.1 	51.7 	46.4 	78.4 	100.0 	231.1 	412.0 	541.4 	517.1 	651.9 	599.6 	427.5 	440.0 	522.8 	636.2 	549.8 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,IT	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 
PNUM,F_CC111,NSA,I10,LT	: 	116.7 	127.2 	112.2 	107.7 	116.2 	93.1 	82.9 	100.0 	103.7 e	135.7 e	146.1 e	127.6 e	97.3 e	71.3 e	52.1 e	42.3 	35.6 	34.7 	31.8 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,LU	: 	: 	99.8 	89.8 	122.8 	106.2 	99.7 	114.1 	100.0 	75.2 	88.8 	109.5 	107.2 	103.0 	84.1 	76.5 	74.8 	76.7 	86.1 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,LV	: 	176.9 	120.7 	123.8 	127.6 	124.4 	119.6 	104.9 	100.0 	119.4 e	223.6 e	364.1 e	416.0 e	346.0 e	278.1 e	188.0 e	135.2 e	93.1 e	84.6 e	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,ME	: 	: 	162.4 	90.4 	146.5 	141.4 	133.8 	78.3 	100.0 	252.9 e	226.8 e	136.3 e	151.6 e	90.4 e	108.3 e	80.9 e	96.8 e	55.4 e	53.5 e	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,MK	: 	133.9 	125.6 	124.4 	121.4 	90.5 	89.0 	76.0 	100.0 	111.4 	126.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,MT	: 	: 	168.4 	125.8 	101.1 	90.8 	81.2 	95.9 	100.0 	96.3 	92.1 	154.1 	203.4 	217.8 	203.7 	224.2 	224.4 	185.7 	363.3 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,NL	: 	123.3 	96.4 	86.9 	59.2 	32.0 	65.7 	98.1 	100.0 	128.0 	160.1 	165.7 	190.1 	178.5 	172.2 	159.1 	150.2 	138.8 	179.4 	186.1 	191.8 	218.2 	208.9 	219.9 	: 	: 	: 
PNUM,F_CC111,NSA,I10,NO	: 	116.3 	122.8 	111.9 	110.4 	116.8 	118.6 	118.7 	100.0 	111.0 	107.4 	118.9 	126.2 	115.3 	108.0 	89.1 	101.5 	114.2 	126.6 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,PL	: 	: 	92.6 	82.3 	73.5 	75.3 	85.3 	96.9 	100.0 	101.8 	114.5 	112.6 	76.6 	61.9 	61.9 	68.6 	43.2 	90.5 	79.2 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,PT	: 	61.5 	51.3 	42.9 	38.7 	41.1 	58.3 	82.9 	100.0 	107.6 	150.2 e	184.2 e	199.9 e	206.7 e	208.9 e	241.5 e	251.7 e	259.9 e	267.8 e	277.8 s	252.9 s	227.6 s	208.2 s	207.1 s	: 	: 	: 
PNUM,F_CC111,NSA,I10,RO	: 	90.8 	87.0 	89.6 	87.6 	88.9 	89.1 	93.6 	100.0 	116.3 	142.9 	133.0 	122.1 	104.8 	82.7 	66.2 	73.5 	82.8 	75.4 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,RS	: 	: 	108.7 	122.3 	99.2 	101.9 	109.7 	105.9 	100.0 	127.6 	143.0 	140.5 	96.2 e	101.1 e	93.1 e	93.4 e	64.6 e	97.0 e	72.4 e	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,SE	: 	: 	131.7 p	108.5 p	89.7 p	70.1 p	64.9 p	84.6 p	100.0 p	87.1 p	102.7 p	128.4 p	133.6 p	115.2 p	102.4 p	91.3 p	73.1 p	70.1 p	80.1 p	71.3 s	59.3 s	51.3 s	41.0 s	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,SI	: 	95.2 p	94.8 	90.0 	85.6 	92.6 	85.2 	91.3 	100.0 	120.0 	135.8 	147.4 	154.2 	139.9 	121.6 	119.4 	106.1 	112.1 	118.5 	137.1 	135.8 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,SK	: 	: 	132.1 	114.1 	97.8 	94.0 	95.4 	98.5 	100.0 	113.6 	139.1 	102.2 	83.9 	80.1 	91.0 	72.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I10,TR	: 	94.7 	83.7 	86.1 	95.9 	89.6 	75.3 	79.9 	100.0 	76.2 	89.2 	97.2 	115.2 	133.3 	88.4 	60.5 	60.0 	99.0 	98.0 	119.0 	144.2 	161.1 	158.6 	179.5 	194.5 	196.6 	192.4 
PNUM,F_CC111,NSA,I10,UK	: 	: 	187.7 p	177.6 p	141.6 p	134.3 p	107.3 	115.7 	100.0 	77.1 	98.6 	163.0 	158.7 	163.6 	179.8 	182.9 	188.8 	199.3 	202.0 	211.7 	211.0 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,AL	1611.1 	1105.6 	666.7 	100.0 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,AT	110.6 e	108.2 e	108.2 e	100.0 p	100.7 p	95.8 	96.3 	110.2 	107.6 	96.9 	104.0 	108.3 	110.8 	102.9 	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,BA	129.5 	128.8 	115.0 	100.0 	86.7 	95.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,BE	126.0 p	101.1 p	106.1 p	100.0 	116.9 	111.9 	116.8 	111.8 	130.4 	116.5 	128.5 	127.6 	142.2 	147.5 	132.4 	120.1 	113.1 	120.8 	128.4 	144.6 	124.2 	172.9 	170.3 	145.0 s	: 	: 	: 
PNUM,F_CC111,NSA,I15,BG	126.9 	126.4 	104.3 	100.0 	99.4 	96.9 	101.1 	111.9 	111.9 	142.6 	201.4 	204.3 	190.1 	157.0 	108.3 	67.8 	45.9 	37.8 	28.2 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,CY	177.0 	140.8 	123.7 	100.0 	97.8 	123.5 	168.9 	228.2 	337.1 	381.2 	383.1 	429.0 	461.4 	465.1 	431.3 	346.5 	252.0 	240.7 	207.9 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,CZ	138.2 	133.7 	114.5 	100.0 	90.8 	91.5 	106.5 	125.4 	121.9 	138.2 	166.4 	154.6 	153.8 	139.7 	142.8 	139.5 	116.3 	111.9 	114.6 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,DE	94.3 	95.3 	100.3 	100.0 	92.5 	93.9 	92.8 	98.6 	82.4 	78.5 	77.5 e	82.6 e	126.5 e	127.5 e	141.4 e	163.1 e	143.9 e	143.5 e	165.4 e	198.6 e	191.1 e	173.5 e	156.2 e	141.5 e	164.2 e	: 	: 
PNUM,F_CC111,NSA,I15,DK	129.2 e	120.9 e	121.1 e	100.0 e	71.9 e	61.8 e	63.1 e	83.6 e	88.1 e	53.3 e	99.6 e	158.0 e	226.7 e	201.2 e	165.0 e	151.6 e	145.9 e	120.3 e	101.5 e	108.6 e	119.5 e	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,EA19	117.4 	115.0 	107.2 	100.0 	94.1 	98.7 	112.5 	131.8 	132.5 	130.3 	171.8 	233.4 	279.3 	269.1 	256.3 	243.8 	222.1 s	222.3 s	244.6 s	243.6 s	229.1 s	213.6 s	196.7 s	191.9 s	: 	: 	: 
PNUM,F_CC111,NSA,I15,EE	125.9 	137.7 	115.9 	100.0 	88.6 	84.3 	69.3 	68.5 	75.7 	90.3 	162.0 	254.3 	295.6 	217.8 	217.7 	128.9 	101.4 	50.3 	41.0 	43.2 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,EL	113.0 	109.1 	95.4 	100.0 	102.2 	129.4 	207.3 	338.0 	483.5 	574.3 	665.7 	796.5 	849.8 	965.1 	827.4 	846.9 	854.5 	825.8 	707.6 s	673.2 s	810.4 s	803.5 s	778.8 s	670.9 s	: 	: 	: 
PNUM,F_CC111,NSA,I15,ES	156.7 	142.5 p	114.4 e	100.0 	86.2 	92.8 	118.8 	175.5 	188.6 	214.8 e	413.0 e	824.5 e	1066.4 e	967.8 e	877.0 e	804.1 e	693.9 e	697.6 e	766.7 e	712.6 e	620.1 e	528.5 e	440.1 e	460.8 e	: 	: 	: 
PNUM,F_CC111,NSA,I15,EU28	117.9 	115.9 	108.3 	100.0 	89.9 	91.4 	98.1 	114.0 	113.2 	108.7 	142.2 	193.4 	224.3 	216.1 	208.4 	200.0 	184.0 s	186.4 s	201.3 s	201.3 s	190.9 s	177.8 s	163.5 s	159.5 s	: 	: 	: 
PNUM,F_CC111,NSA,I15,FI	115.2 	116.3 	109.7 	100.0 	111.3 	124.5 	160.2 	184.9 	193.5 	152.4 	176.2 	236.6 	264.4 	268.5 	247.5 	230.4 	194.2 	172.1 	204.0 	211.6 	188.6 	164.1 	121.4 	103.1 	: 	: 	: 
PNUM,F_CC111,NSA,I15,FR	109.6 	118.2 	110.1 	100.0 	95.6 	114.1 	129.1 	143.8 	143.9 	118.7 	144.5 	170.2 	176.7 	170.6 	160.6 	145.6 	138.1 	137.5 	141.2 	139.1 	135.7 	109.9 	106.4 	94.1 	106.1 	: 	: 
PNUM,F_CC111,NSA,I15,HR	170.7 	164.1 	123.9 	100.0 	109.6 	121.1 	156.0 	193.7 	206.4 	245.4 	229.0 	222.4 	245.4 	258.9 	227.8 	237.5 	238.1 	234.3 	201.5 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,HU	197.2 	195.6 	182.8 	100.0 	80.2 	70.9 	97.4 	111.7 	113.5 	188.3 	255.9 	304.8 	331.9 	338.9 	402.9 	454.7 	404.6 	405.5 	447.8 	361.9 s	293.0 s	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,IE	195.3 	150.6 	121.8 	100.0 	64.6 	58.6 	52.6 	88.8 	113.2 	261.6 	466.4 	613.0 	585.4 	738.0 	678.8 	484.0 	498.1 	591.9 	720.3 	622.4 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,IT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 
PNUM,F_CC111,NSA,I15,LT	110.3 	104.7 	114.1 	100.0 	95.4 	104.6 	83.8 	74.6 	90.0 	93.3 e	122.1 e	131.5 e	114.8 e	87.6 e	64.2 e	46.9 e	38.1 	32.0 	31.3 	28.7 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,LU	117.8 	123.7 	111.2 	100.0 	136.7 	118.2 	111.0 	127.1 	111.3 	83.7 	98.9 	121.9 	119.3 	114.7 	93.7 	85.1 	83.3 	85.4 	95.9 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,LV	138.9 	140.5 	95.9 	100.0 	101.4 	98.8 	95.0 	83.3 	79.4 	94.9 e	177.6 e	289.2 e	330.4 e	274.9 e	220.9 e	149.4 e	107.4 e	74.0 e	67.2 e	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,ME	38.7 	183.8 	179.6 	100.0 	162.0 	156.3 	147.9 	86.6 	110.6 	279.6 e	250.7 e	150.7 e	167.6 e	100.0 e	119.7 e	89.4 e	107.0 e	61.3 e	59.2 e	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,MK	84.1 	107.6 	101.0 	100.0 	97.6 	72.8 	71.6 	61.1 	80.4 	89.6 	101.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,MT	187.9 	146.9 	133.8 	100.0 	80.4 	72.2 	64.5 	76.2 	79.5 	76.5 	73.2 	122.4 	161.6 	173.1 	161.8 	178.1 	178.3 	147.6 	288.7 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,NL	145.7 	141.8 	110.9 	100.0 	68.1 	36.8 	75.5 	112.8 	115.0 	147.2 	184.2 	190.6 	218.7 	205.4 	198.1 	183.0 	172.8 	159.7 	206.4 	214.1 	220.6 	251.0 	240.2 	253.0 	: 	: 	: 
PNUM,F_CC111,NSA,I15,NO	95.1 	103.9 	109.7 	100.0 	98.6 	104.3 	106.0 	106.0 	89.3 	99.1 	96.0 	106.2 	112.8 	103.0 	96.5 	79.6 	90.6 	102.0 	113.1 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,PL	134.8 	125.2 	112.4 	100.0 	89.3 	91.5 	103.6 	117.7 	121.5 	123.6 	139.1 	136.7 	93.0 	75.2 	75.2 	83.4 	52.5 	109.9 	96.1 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,PT	183.4 	143.6 	119.6 	100.0 	90.3 	95.7 	135.9 	193.3 	233.1 	250.9 	350.2 e	429.4 e	465.9 e	481.8 e	486.8 e	562.9 e	586.6 e	605.7 e	624.1 e	647.5 s	589.5 s	530.5 s	485.1 s	482.7 s	: 	: 	: 
PNUM,F_CC111,NSA,I15,RO	106.1 	101.3 	97.2 	100.0 	97.7 	99.3 	99.5 	104.5 	111.6 	129.8 	159.5 	148.4 	136.3 	117.0 	92.3 	73.9 	82.1 	92.5 	84.2 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,I15,RS	129.1 	127.6 	88.9 	100.0 	81.1 	83.3 	89.7 	86.6 	81.7 	104.3 	116.9 	114.8 	78.6 e	82.6 e	76.1 e	76.3 e	52.8 e	79.3 e	59.2 e	: 	: 	: 	: 	: 	: 	: 	: 
